Site	year	DOY	time	T_R1	T_C	T_S	VZA	T_A1	T_A0	u	ea	p	S_dn	RN	L_dn	LAI	h_C	f_c	f_g	w_C
1	2021	36	2.5	275.59350889310826	275.59350889310826	313.15	0.0	277.544	0.0	0.960971	7.61436	998.5860000000001	-2.90179	-62.9812	267.829	1.0	3.0	1.0	1.0	1.0
1	2021	36	9.5	288.49953632960296	288.49953632960296	313.15	0.0	286.12	0.0	1.07699	7.70074	998.89	432.068	251.604	282.075	1.0	3.0	1.0	1.0	1.0
1	2021	36	11.0	296.22393072790476	296.22393072790476	313.15	0.0	289.924	0.0	2.24817	6.180910000000001	998.8889999999999	648.616	410.534	294.512	1.0	3.0	1.0	1.0	1.0
1	2021	36	12.0	299.18647825481855	299.18647825481855	313.15	0.0	291.787	0.0	3.37516	5.98368	998.069	716.9	460.2	300.813	1.0	3.0	1.0	1.0	1.0
1	2021	36	12.5	299.53727249211556	299.53727249211556	313.15	0.0	291.801	0.0	3.64008	6.184080000000001	997.505	730.484	467.291	299.475	1.0	3.0	1.0	1.0	1.0
1	2021	36	13.0	301.0507043603568	301.0507043603568	313.15	0.0	292.63	0.0	2.58527	7.031929999999999	997.1980000000001	722.365	453.177	302.64	1.0	3.0	1.0	1.0	1.0
1	2021	36	13.5	300.38761117959393	300.38761117959393	313.15	0.0	292.679	0.0	3.32783	7.51556	996.6410000000001	700.973	439.659	304.315	1.0	3.0	1.0	1.0	1.0
1	2021	36	14.0	299.63337370430185	299.63337370430185	313.15	0.0	292.564	0.0	3.49458	7.60942	996.2850000000001	662.647	409.495	303.884	1.0	3.0	1.0	1.0	1.0
1	2021	36	14.5	298.59023177497056	298.59023177497056	313.15	0.0	292.504	0.0	3.79868	7.4649	996.0289999999999	607.891	365.96	303.273	1.0	3.0	1.0	1.0	1.0
1	2021	36	15.5	295.0472099094471	295.0472099094471	313.15	0.0	291.141	0.0	4.15489	7.72128	995.547	461.713	249.028	295.804	1.0	3.0	1.0	1.0	1.0
1	2021	36	20.0	283.83456692919464	283.83456692919464	313.15	0.0	286.592	0.0	2.18808	7.001799999999999	994.898	-4.46506	-96.48	276.727	1.0	3.0	1.0	1.0	1.0
1	2021	36	20.5	282.8981911067395	282.8981911067395	313.15	0.0	286.642	0.0	1.50114	6.62806	994.8000000000001	-4.60972	-91.6981	276.987	1.0	3.0	1.0	1.0	1.0
1	2021	36	22.5	283.41724218800164	283.41724218800164	313.15	0.0	287.386	0.0	2.43009	5.29809	994.653	-3.81869	-90.7923	280.227	1.0	3.0	1.0	1.0	1.0
1	2021	36	23.0	283.827028323536	283.827028323536	313.15	0.0	287.348	0.0	3.14913	5.217569999999999	994.74	-4.21466	-91.7655	281.089	1.0	3.0	1.0	1.0	1.0
1	2021	37	1.5	281.6868182496272	281.6868182496272	313.15	0.0	284.227	0.0	3.12617	6.45749	994.2869999999999	-4.88987	-88.0132	273.238	1.0	3.0	1.0	1.0	1.0
